"Date","Price","Open","High","Low","Vol.","Change %"
"08/15/2025","97.85","96.23","98.28","96.23","","-0.19%"
"08/14/2025","98.04","100.12","100.16","96.46","","-0.13%"
"08/13/2025","98.17","94.14","98.17","94.14","","5.72%"
"08/12/2025","92.86","94.83","94.86","92.02","","-4.36%"
"08/11/2025","97.09","95.63","97.64","94.71","","4.24%"
"08/08/2025","93.14","96.75","96.75","93.14","","-4.34%"
"08/07/2025","97.37","94.44","98.84","94.06","","-0.45%"
"08/06/2025","97.81","96.83","97.81","95.33","","0.16%"
"08/05/2025","97.65","96.12","100.20","95.37","","1.88%"
"08/04/2025","95.85","105.81","105.99","95.76","","-12.70%"
"08/01/2025","109.79","106.19","112.96","104.33","","11.61%"
"07/31/2025","98.37","93.78","98.65","92.28","","4.28%"
"07/30/2025","94.33","95.63","100.55","94.10","","-0.85%"
"07/29/2025","95.14","87.76","96.06","87.76","","7.39%"
"07/28/2025","88.59","89.87","91.37","88.43","","-2.21%"
"07/25/2025","90.59","90.18","90.74","88.85","","0.94%"
"07/24/2025","89.75","88.05","89.93","86.82","","1.94%"
"07/23/2025","88.04","89.06","89.92","86.90","","-2.80%"
"07/22/2025","90.58","92.83","95.00","90.53","","-1.82%"
"07/21/2025","92.26","94.31","94.32","90.72","","-0.96%"
"07/18/2025","93.15","92.38","95.11","91.94","","0.27%"
"07/17/2025","92.90","95.19","95.24","92.89","","-2.78%"
"07/16/2025","95.56","94.48","103.29","92.65","","0.95%"
"07/15/2025","94.66","92.94","95.32","92.81","","-1.14%"
"07/14/2025","95.75","96.29","96.29","94.31","","2.37%"
"07/11/2025","93.53","93.62","95.12","92.02","","2.85%"
"07/10/2025","90.94","90.61","92.55","90.19","","-0.89%"
"07/09/2025","91.76","93.92","96.74","91.70","","0.49%"
"07/08/2025","91.31","93.73","93.83","91.00","","-5.18%"
"07/07/2025","96.30","95.39","99.04","94.72","","6.29%"
"07/03/2025","90.60","88.23","91.04","87.85","","0.89%"
"07/02/2025","89.80","90.02","90.18","88.49","","0.29%"
"07/01/2025","89.54","90.43","90.50","87.98","","-0.22%"
"06/30/2025","89.74","91.48","92.96","89.26","","-2.29%"
